STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/ə ˈleʒə pəˈsjuːt/	A leisure pursuit.	Một sở thích.	My leisure pursuits include writing journals and playing the ukulele.\nSở thích của tôi là viết sổ tay và chơi đån ukulele.	8	Từ vựng IELTS 8.0 
2	/tə kənˈsɪdə maɪˈself/	To consider myself.	Tự thấy bản thân (là một người...).	I consider myself a gregarious person and I relish being surrounded by people.\nTôi thấy mình là một người cởi mở và thích được mọi người vây quanh.	8	Từ vựng IELTS 8.0 
3	/tə hæv ə ɡreɪt ˈɪntrəst ɪn/	To have a great interest in.	Có sự đam mê mãnh liệt (với...).	I have a great interest in factual books which are about history and art.\nTôi đam mê những cuốn sách thực tế về lịch sử và nghệ thuật.	8	Từ vựng IELTS 8.0 
4	/tə hæv ə sɒft spɒt fɔː/	To have a soft spot for.	Rất yêu thích (một ai đó hoặc một thứ gì đó).	I really enjoy anime and mangas. I have always had a soft spot for anime and mangas.\nTôi luôn yêu thích hoạt hình và truyện tranh Nhật Bản.	8	Từ vựng IELTS 8.0 
5	/tə hæv ə kræk æt/	To have a crack at.	Muốn thử làm điều gì đó.	Although I'm for sure not a risk-taker, I have always wanted to have a crack at skydiving some day.\nMặc dù tôi hoàn toàn không phải là người mạo hiểm, tôi luôn muốn một ngày nào đó sẽ thử môn nhảy dù.	8	Từ vựng IELTS 8.0 
6	/tə ˌriːˈtʃɑːdʒ maɪ ˈbætəriz/	To recharge my batteries.	Nghỉ ngơi và sạc lại năng lượng.	The project has drained me of all my energy so I decided to take a trip to Phu Quoc to recharge my batteries.\nDự án đã rút cạn năng lượng của tôi và tôi quyết định sẽ đến Phú Quốc đểnghỉ ngơi và sạc lại năng lượng cho bản thân.	8	Từ vựng IELTS 8.0 
7	/tə bləʊ ɒf sʌm stiːm/	To blow off (some) steam.	Giải tòa năng lượng, giảm căng thằng.	Playing with toys helps kids to release their energy. Toys, especially educational ones, do much more than just help kids blow off steam.\nĐồ chơi, đặc biệt là đổ chơi mang tỉnh giáo dục, có thể mang lại nhiều giá trị hơn ngoài việc giúp trẻ giải tỏa năng lượng.	8	Từ vựng IELTS 8.0 
8	/tə bi ʌp tə maɪ ɪəz/	To be up to my ears.	Rất bận rộn.	I'm up to my ears in work and indeed demand some time off.\nTôi rất bận rộn với công việc và thực sự cần thời gian nghỉ ngơi.	8	Từ vựng IELTS 8.0 
9	/ə pəˈreniəl ˈfeɪvərɪt/	A perennial favourite.	Một thứ đã thích từ lâu.	Blade Runner has always been in the list of my perennial favourites.\nBlade Runner luôn nằm trong danh sách các bộ phim yêu thích từ lâu của tôi.	8	Từ vựng IELTS 8.0 
10	/ən ˈævɪd ˈriːdə/	An avid reader.	Một người ham đọc sách.	I read many books about space and stars. I'm an avid reader of books that involve astronomy.\nTôi đam mê đọc sách liên quan đến thiên văn học.	8	Từ vựng IELTS 8.0 
11	/ə peɪdʒ ˈtɜːnə/	A page-turner.	Một quyển sách hấp dẫn khiến người đọc phải đọc nhanh.	Harry Potter is such a page-turner and it was so gripping that I couldn't put it down.\nHarry Potter là một tác phẩm hấp dẫn đến mức tôi không thể rời mắt	8	Từ vựng IELTS 8.0 
12	/ə bɒks ˈɒfɪs hɪt/	A box office hit.	Một bộ phim rạp đình đảm.	Robert Downey Jr made a name for himself through the Iron Man series. a true box office hit.\nRobert Downey Ir dđã làm nên tên tuổi của mình qua loạt phim Người Sắt, loạt phim đã thu về lợi nhuận khổng lổ tại phòng vé.	8	Từ vựng IELTS 8.0 
13	/tə dɪˈpɪkt ən ˌɪmˈædʒɪnəbl ˈæspekt/	To depict an unimaginable aspect.	Khac họa một khía cạnh khó tưởng tượng.	The book has successfully depicted an unimaginable aspect of World War II.\nCuốn sách đã khắc họa thành công một khía cạnh khó tưởng của Thế chiến thứ hai.	8	Từ vựng IELTS 8.0 
14	/tə ˈtrɪɡə ðə lʌv fɔː/	To trigger the love for.	Khoi dậy niềm yêu thích (một thứ gì đó).	The habit of reading bedtime stories would trigger the love for books in children.\nThói quen đọc truyện trước khi đi ngủ sẽ khơi dậy niểm yêu thích sách ở trẻ.	8	Từ vựng IELTS 8.0 
15	/tə bi ɪnˈɡrəʊst ɪn/	To be engrossed in.	Toàn tâm chú ý (tới cái gì đó).	I was so engrossed in the book that I lost track of time.\nTôi mải mêề với cuốn sách đến nỗi quên mất ý niệm về thời gian.	8	Từ vựng IELTS 8.0 
16	/frəm ˈkʌvə tə ˈkʌvə/	From cover to cover.	(doc một quyển sách) từ đầu tới cuối.	That book was so good and I finished reading it in one day. That was such a thought-provoking book that I read it from cover to cover in one day.\nĐó là một cuốn sách gợi mở rất nhiều suy nghĩ, khiến tôi chăm chú đọc từ đầu đến cuối chỉ trong một ngày.	8	Từ vựng IELTS 8.0 
