STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/pɪtʃ/	pitch	Sân thể thao (thường cho những môn như bóng đá, khúc côn cầu,…)	Hundreds of fans invaded the pitch at the end of the game.\nHàng trăm người cổ động xông vào sân bóng khi trận đấu kết thúc.	2	Destination B2
2	/træk/	track	Đường đua, đường chạy (điền kinh, đua xe)	Mr.Dog has been training hard on the running track for the upcoming marathon.\nMr.Dog đã và đang tập luyện chăm chỉ trên đường chạy để chuẩn bị cho giải marathon sắp tới.	2	Destination B2
3	/kɔːrt/	court	Sân thi đấu (quần vợt, bóng rổ, cầu lông,...)	Mr.Cat slipped and fell hard on the basketball court yesterday.\nMr.Cat đã bị trượt chân và ngã khá đau trên sân bóng rổ vào ngày hôm qua.	2	Destination B2
4	/kɔːrs/	course	Sân chơi gôn (golf) hoặc trường đua	Mr.Fox spent his entire Sunday morning playing at the local golf course.\nMr.Fox đã dành trọn buổi sáng Chủ nhật để chơi tại sân gôn của địa phương.	2	Destination B2
5	/rɪŋ/	ring	Sàn đấu (quyền anh, đấu vật)	The crowd cheered loudly as Mr.Dog stepped into the boxing ring.\nĐám đông hò reo nồng nhiệt khi Mr.Dog bước lên sàn đấu quyền anh.	2	Destination B2
6	/rɪŋk/	rink	Sân trượt băng, trượt patin	Mr.Cat and his friends go to the ice rink every weekend to practice their skills.\nMr.Cat và bạn bè đến sân trượt băng mỗi dịp cuối tuần để rèn luyện kỹ năng.	2	Destination B2
7	/wɪn/	win	Giành chiến thắng (cuộc thi, giải đấu, phần thưởng)	Mr.Fox needs to win this match to advance to the next round of the tournament.\nMr.Fox cần giành chiến thắng trong trận đấu này để lọt vào vòng tiếp theo của giải.	2	Destination B2
8	/biːt/	beat	Đánh bại (đối thủ, một đội khác)	Mr.Dog finally beat his toughest opponent after three hours of intense playing.\nMr.Dog cuối cùng cũng đánh bại được đối thủ nặng ký nhất sau ba giờ thi đấu căng thẳng.	2	Destination B2
9	/skɔːr/	score	Ghi bàn, ghi điểm	Mr.Cat managed to score the winning goal in the final minutes of the match.\nMr.Cat đã kịp ghi bàn thắng quyết định vào những phút cuối cùng của trận đấu.	2	Destination B2
10	/pleɪ/	play	Chơi (môn thể thao, nhạc cụ) hoặc vở kịch	Mr.Fox usually plays tennis with his colleagues to relieve stress after work.\nMr.Fox thường chơi quần vợt với đồng nghiệp để xả hơi sau giờ làm việc.	2	Destination B2
11	/ɡeɪm/	game	Trò chơi, trận đấu	That was arguably the most exciting basketball game Mr.Dog has ever watched.\nĐó có lẽ là trận bóng rổ kịch tính nhất mà Mr.Dog từng xem.	2	Destination B2
12	/spekˈteɪtər/	spectator	Khán giả (ngồi xem trực tiếp tại sân vận động, nhà thi đấu)	Over fifty thousand spectators gathered to watch Mr.Cat play in the championship.\nHơn năm mươi nghìn khán giả đã tụ tập để xem Mr.Cat thi đấu ở giải vô địch.	2	Destination B2
13	/ˈvjuːər/	viewer	Khán giả (xem qua truyền hình hoặc internet)	Millions of viewers tuned in to watch Mr.Fox's interview last night.\nHàng triệu khán giả truyền hình đã bật kênh để xem buổi phỏng vấn của Mr.Fox tối qua.	2	Destination B2
14	/ˈʌmpaɪər/	umpire	Trọng tài (trong quần vợt, bóng chày, cricket,...)	The tennis umpire warned Mr.Dog about his inappropriate behavior on the court.\nTrọng tài môn quần vợt đã cảnh cáo Mr.Dog về hành vi không chừng mực trên sân.	2	Destination B2
15	/ˌrefəˈriː/	referee	Trọng tài (trong bóng đá, bóng bầu dục, quyền anh,...)	Mr.Cat criticized the referee heavily for making a controversial decision.\nMr.Cat đã chỉ trích trọng tài gay gắt vì đưa ra một quyết định gây tranh cãi.	2	Destination B2
16	/ˈfaɪnl/	final	Trận chung kết (thể thao), bài thi cuối kỳ	Mr.Fox has been practicing relentlessly because he wants to win the tennis final.\nMr.Fox đã luyện tập không ngừng nghỉ vì anh ấy muốn giành chức vô địch trong trận chung kết quần vợt.	2	Destination B2
17	/fɪˈnɑːli/	finale	Phần kết, màn trình diễn cuối cùng (của sự kiện, vở diễn)	The grand finale of the show featured a spectacular performance by Mr.Dog.\nMàn kết thúc hoành tráng của buổi biểu diễn có sự góp mặt của một tiết mục xuất sắc từ Mr.Dog.	2	Destination B2
18	/end/	end	Điểm kết thúc, sự kết thúc (của khoảng thời gian, sự kiện)	Mr.Cat decided to change his training routine at the end of the year.\nMr.Cat đã quyết định thay đổi lịch trình tập luyện của mình vào thời điểm cuối năm.	2	Destination B2
19	/ˈendɪŋ/	ending	Phần cuối, kết cục (của một bộ phim, câu chuyện)	Mr.Fox highly recommended the movie because it had a very unexpected ending.\nMr.Fox đặc biệt giới thiệu bộ phim đó vì nó có một cái kết vô cùng bất ngờ.	2	Destination B2
20	/bæt/	bat	Gậy đánh bóng (bóng chày, bóng bàn, cricket...)	Mr.Dog bought a brand new baseball bat to prepare for the upcoming tournament.\nMr.Dog đã mua một chiếc gậy bóng chày mới tinh để chuẩn bị cho giải đấu sắp tới.	2	Destination B2
21	/stɪk/	stick	Gậy (dùng trong khúc côn cầu, bi-da)	Mr.Fox accidentally broke his hockey stick during the intense match.\nMr.Fox đã vô tình làm gãy gậy khúc côn cầu của mình trong trận đấu căng thẳng.	2	Destination B2
22	/rɑːd/	rod	Cần câu cá	Mr.Cat sat patiently by the lake with his new fishing rod.\nMr.Cat kiên nhẫn ngồi bên hồ nước cùng chiếc cần câu mới của mình.	2	Destination B2
23	/ˈrækɪt/	racket	Vợt (cầu lông, quần vợt)	Mr.Dog borrowed my tennis racket because he forgot his at home.\nMr.Dog đã mượn vợt quần vợt của tôi vì anh ấy để quên ở nhà.	2	Destination B2
24	/ˈæmətər/	amateur	Nghiệp dư, người chơi nghiệp dư	Although he is just an amateur, Mr.Fox plays the piano beautifully.\nMặc dù chỉ là người chơi nghiệp dư, Mr.Fox đánh đàn piano rất hay.	2	Destination B2
25	/prəˈfeʃənl/	professional	Chuyên nghiệp	You need a lot of training to become a professional athlete.\nBạn cần tập luyện rất nhiều để trở thành một vận động viên chuyên nghiệp.	2	Destination B2
26	/spɔːrt/	sport	Môn thể thao	Swimming is an excellent sport for improving your cardiovascular health.\nBơi lội là một môn thể thao tuyệt vời để cải thiện sức khỏe tim mạch của bạn.	2	Destination B2
27	/æθˈletɪks/	athletics	Điền kinh (các môn chạy, nhảy, ném)	Mr.Dog has always been interested in athletics since he was a teenager.\nMr.Dog luôn đam mê điền kinh từ khi anh ấy còn là một thiếu niên.	2	Destination B2
28	/ˈɪntərvl/	interval	Khoảng thời gian nghỉ (giữa vở kịch, sự kiện)	There will be a short interval of 15 minutes before the second act begins.\nSẽ có một khoảng thời gian nghỉ 15 phút trước khi màn hai bắt đầu.	2	Destination B2
29	/ˌhæf ˈtaɪm/	half-time	Giờ nghỉ giải lao (giữa hai hiệp đấu)	The players went back to the locker room during half-time to rest.\nCác cầu thủ đã quay trở lại phòng thay đồ trong giờ nghỉ giải lao để nghỉ ngơi.	2	Destination B2
30	/drɔː/	draw	Kết quả hòa, trận hòa	The exciting football match ended in a 2-2 draw.\nTrận bóng đá kịch tính đã kết thúc với tỷ số hòa 2-2.	2	Destination B2
31	/ˈiːkwəl/	equal	Ngang bằng, cân bằng (kỷ lục, tỷ số)	Mr.Cat managed to equal the national record in the high jump event.\nMr.Cat đã xuất sắc cân bằng kỷ lục quốc gia ở nội dung nhảy cao.	2	Destination B2
32	/kəmˈpetɪtər/	competitor	Người thi đấu, người cạnh tranh	Over a hundred competitors took part in the annual cycling race.\nHơn một trăm người thi đấu đã tham gia cuộc đua xe đạp thường niên.	2	Destination B2
33	/əˈpoʊnənt/	opponent	Đối thủ (trong thể thao, tranh luận)	Mr.Fox shook hands with his opponent before the debate started.\nMr.Fox đã bắt tay đối thủ của mình trước khi cuộc tranh luận bắt đầu.	2	Destination B2
34	/brɪŋ ˈfɔːrwərd/	bring forward	Đẩy lên sớm hơn, dời lịch sớm hơn	The meeting was brought forward to Monday because the manager had a business trip.\nCuộc họp đã được đẩy lên sớm vào thứ Hai vì quản lý có chuyến công tác.	2	Destination B2
35	/ˈkæri ɑːn/	carry on	Tiếp tục	Despite the heavy rain, they decided to carry on with the football match.\nMặc dù trời mưa to, họ vẫn quyết định tiếp tục trận đấu bóng đá.	2	Destination B2
36	/ɡet raʊnd tu/	get round to	Có thời gian để làm việc gì đó (đã trì hoãn lâu)	Mr.Dog finally got round to cleaning his garage after weeks of putting it off.\nCuối cùng Mr.Dog cũng có thời gian dọn dẹp nhà để xe sau nhiều tuần trì hoãn.	2	Destination B2
37	/ɡet ʌp tu/	get up to	Làm việc gì đó (thường là lén lút hoặc nghịch ngợm)	I wonder what those kids are getting up to in the backyard.\nTôi tự hỏi bọn trẻ đang nghịch ngợm trò gì ở sân sau thế kia.	2	Destination B2
38	/ɡoʊ ɪn fər/	go in for	Tham gia (cuộc thi), có sở thích làm gì	Mr.Cat doesn't go in for extreme sports because he thinks they are too dangerous.\nMr.Cat không thích các môn thể thao mạo hiểm vì anh ấy nghĩ chúng quá nguy hiểm.	2	Destination B2
39	/ɡoʊ ɔːf/	go off	Ngừng thích cái gì, ôi thiu (thức ăn)	Mr.Fox used to love basketball, but he went off it recently.\nMr.Fox từng rất yêu thích bóng rổ, nhưng gần đây anh ấy không còn thích nữa.	2	Destination B2
40	/dʒɔɪn ɪn/	join in	Tham gia vào (một hoạt động đang diễn ra)	Everyone was dancing at the party, so Mr.Dog decided to join in.\nMọi người đều đang khiêu vũ tại bữa tiệc, vì vậy Mr.Dog quyết định tham gia cùng.	2	Destination B2
41	/nɑːk aʊt/	knock out	Đánh bại và loại (khỏi giải đấu)	Mr.Fox was knocked out of the tournament in the second round.\nMr.Fox đã bị loại khỏi giải đấu ở vòng thứ hai.	2	Destination B2
42	/nɑːk aʊt/	knock out	Đánh bất tỉnh, làm cho mê man	The heavy blow to the head knocked the boxer out completely.\nCú đấm mạnh vào đầu đã khiến võ sĩ quyền anh hoàn toàn bất tỉnh.	2	Destination B2
43	/lʊk aʊt/	look out	Cẩn thận, coi chừng	Look out! There is a car coming towards us.\nCẩn thận! Có một chiếc xe hơi đang lao về phía chúng ta kìa.	2	Destination B2
44	/pʊl aʊt/	pull out	Rút khỏi (cuộc thi, thỏa thuận)	Mr.Cat had to pull out of the marathon due to a severe knee injury.\nMr.Cat đã phải rút khỏi giải chạy marathon do chấn thương đầu gối nghiêm trọng.	2	Destination B2
45	/pʊt ɔːf/	put off	Trì hoãn, hoãn lại	The organizers had to put off the outdoor concert because of the storm.\nBan tổ chức đã phải hoãn buổi hòa nhạc ngoài trời vì cơn bão.	2	Destination B2
46	/pʊt ʌp wɪθ/	put up with	Chịu đựng (ai đó hoặc điều gì khó chịu)	Mr.Dog couldn't put up with the loud noise from his neighbors anymore.\nMr.Dog không thể chịu đựng được tiếng ồn lớn từ hàng xóm của mình thêm nữa.	2	Destination B2
47	/teɪk tu/	take to	Bắt đầu thích, bắt đầu có thói quen làm gì	Mr.Fox has really taken to swimming lately and goes to the pool every day.\nGần đây Mr.Fox bắt đầu rất thích bơi lội và đến hồ bơi mỗi ngày.	2	Destination B2
48	/teɪk ʌp/	take up	Bắt đầu (một sở thích, môn thể thao mới)	Mr.Cat decided to take up yoga to improve his flexibility and reduce stress.\nMr.Cat đã quyết định bắt đầu tập yoga để tăng độ dẻo dai và giảm căng thẳng.	2	Destination B2
49	/meɪk ðə best əv ˈsʌmθɪŋ/	make the best of something	Tận dụng tối đa điều gì (dù hoàn cảnh không thuận lợi)	The weather was terrible, but we tried to make the best of our holiday.\nThời tiết rất tệ, nhưng chúng tôi đã cố gắng tận dụng tối đa kỳ nghỉ của mình.	2	Destination B2
50	/duː jɔːr best/	do your best	Cố gắng hết sức mình	Don't worry about the final result, just do your best in the exam.\nĐừng lo lắng về kết quả cuối cùng, hãy cứ làm bài thi hết sức mình.	2	Destination B2
51	/ðə best ət ˈsʌmθɪŋ/	the best at something	Giỏi nhất về cái gì	Mr.Dog is arguably the best at mathematics in our entire school.\nMr.Dog có lẽ là người giỏi toán nhất trong toàn bộ trường của chúng tôi.	2	Destination B2
52	/ðə best ət ˈduːɪŋ ˈsʌmθɪŋ/	the best at doing something	Giỏi nhất trong việc làm điều gì	Mr.Fox is the best at organizing events for the local community.\nMr.Fox là người giỏi nhất trong việc tổ chức các sự kiện cho cộng đồng địa phương.	2	Destination B2
53	/hæv ə tʃæns tu du ˈsʌmθɪŋ/	have a chance to do something	Có cơ hội làm việc gì	I finally had a chance to visit Paris during my summer vacation.\nCuối cùng tôi cũng có cơ hội đến thăm Paris trong kỳ nghỉ hè của mình.	2	Destination B2
54	/hæv ə tʃæns əv ˈduːɪŋ ˈsʌmθɪŋ/	have a chance of doing something	Có khả năng làm được việc gì	With his current skills, Mr.Cat has a good chance of winning the competition.\nVới kỹ năng hiện tại, Mr.Cat có khả năng cao sẽ giành chiến thắng trong cuộc thi.	2	Destination B2
55	/sʌm tʃæns əv ˈduːɪŋ ˈsʌmθɪŋ/	some chance of doing something	Có một chút cơ hội/khả năng làm gì	There is still some chance of repairing the laptop, so don't throw it away yet.\nVẫn còn một chút cơ hội sửa được chiếc máy tính xách tay, nên đừng vội vứt nó đi.	2	Destination B2
56	/ˈlɪtl tʃæns əv ˈduːɪŋ ˈsʌmθɪŋ/	little chance of doing something	Hầu như không có cơ hội làm gì	There is little chance of finding the lost keys in this huge park.\nHầu như không có cơ hội nào để tìm lại được chùm chìa khóa đã mất trong khu công viên rộng lớn này.	2	Destination B2
57	/ðə ˈtʃænsɪz əv ˈduːɪŋ ˈsʌmθɪŋ/	the chances of doing something	Khả năng/xác suất xảy ra việc gì	The chances of passing the exam without studying are very low.\nKhả năng thi đỗ mà không cần học bài là rất thấp.	2	Destination B2
58	/teɪk ə tʃæns ɑːn ˈsʌmθɪŋ/	take a chance on something	Đánh liều, mạo hiểm với điều gì	Mr.Fox decided to take a chance on the new business despite the risks.\nMr.Fox quyết định mạo hiểm với dự án kinh doanh mới mặc cho những rủi ro.	2	Destination B2
59	/tʃæns əv ə ˈlaɪftaɪm/	chance of a lifetime	Cơ hội ngàn năm có một	Traveling around the world for free is truly a chance of a lifetime.\nĐược đi du lịch vòng quanh thế giới miễn phí thực sự là cơ hội ngàn năm có một.	2	Destination B2
60	/jɔːr ɡoʊ/	your go	Đến lượt của bạn (trong trò chơi)	Roll the dice, Mr.Dog; it is your go now.\nĐổ xúc xắc đi, Mr.Dog; giờ đến lượt của bạn rồi đấy.	2	Destination B2
61	/hæv ə ɡoʊ/	have a go	Thử làm việc gì đó	I have never played golf before, but I would like to have a go.\nTôi chưa bao giờ chơi gôn, nhưng tôi rất muốn thử một lần.	2	Destination B2
62	/ɪn haɪt/	in height	Chiều cao	The new skyscraper will be over three hundred meters in height.\nTòa nhà chọc trời mới sẽ có chiều cao hơn ba trăm mét.	2	Destination B2
63	/əˈfreɪd əv haɪts/	afraid of heights	Sợ độ cao	Mr.Cat refused to go on the roller coaster because he is afraid of heights.\nMr.Cat đã từ chối chơi tàu lượn siêu tốc vì anh ấy mắc chứng sợ độ cao.	2	Destination B2
64	/haɪt əv ˈsʌmθɪŋ/	height of something	Đỉnh điểm của cái gì (thời kỳ đỉnh cao)	At the height of his career, Mr.Dog was the most famous actor in the country.\nVào thời kỳ đỉnh cao của sự nghiệp, Mr.Dog là nam diễn viên nổi tiếng nhất cả nước.	2	Destination B2
65	/mæd əˈbaʊt ˈsʌmθɪŋ/	mad about something	Rất thích, đam mê cái gì	Mr.Fox is absolutely mad about classical music and listens to it daily.\nMr.Fox cực kỳ đam mê nhạc cổ điển và nghe nó hàng ngày.	2	Destination B2
66	/mæd ɑːn ˈsʌmθɪŋ/	mad on something	Phát cuồng/rất thích cái gì	Both teenagers are mad on video games and play them all weekend.\nCả hai thanh thiếu niên đều phát cuồng vì trò chơi điện tử và chơi suốt cả dịp cuối tuần.	2	Destination B2
67	/mæd əˈbaʊt ˈsʌmweʌn/	mad about someone	Phát cuồng vì ai đó (rất yêu thích ai)	Ever since they met, Mr.Dog has been completely mad about her.\nKể từ khi họ gặp nhau, Mr.Dog đã hoàn toàn say đắm cô ấy.	2	Destination B2
68	/mæd ɑːn ˈsʌmweʌn/	mad on someone	Phát cuồng vì ai đó	Many fans are mad on the lead singer of that rock band.\nRất nhiều người hâm mộ phát cuồng vì ca sĩ hát chính của ban nhạc rock đó.	2	Destination B2
69	/mæd əˈbaʊt ˈduːɪŋ ˈsʌmθɪŋ/	mad about doing something	Rất thích làm việc gì	Mr.Cat is mad about collecting vintage stamps from different countries.\nMr.Cat rất đam mê việc sưu tập những con tem cổ từ các quốc gia khác nhau.	2	Destination B2
70	/ɡoʊ mæd/	go mad	Trở nên điên tiết, tức giận	My boss will go mad if he finds out that we lost the contract.\nSếp của tôi sẽ nổi điên lên nếu ông ấy phát hiện ra chúng ta đã làm mất hợp đồng.	2	Destination B2
71	/bɪˈkʌm mæd/	become mad	Trở nên điên rồ, mất trí	The isolation on the island caused him to slowly become mad.\nSự cô lập trên hòn đảo đã khiến anh ta dần trở nên mất trí.	2	Destination B2
72	/teɪk ˈpleʒər ɪn ˈsʌmθɪŋ/	take pleasure in something	Tìm thấy niềm vui từ cái gì	Mr.Fox takes immense pleasure in a hot cup of tea on a rainy day.\nMr.Fox tìm thấy niềm vui to lớn từ một tách trà nóng vào một ngày mưa.	2	Destination B2
73	/teɪk ˈpleʒər ɪn ˈduːɪŋ ˈsʌmθɪŋ/	take pleasure in doing something	Tìm thấy niềm vui trong việc làm gì	Mr.Dog takes pleasure in helping the elderly people in his neighborhood.\nMr.Dog tìm thấy niềm vui trong việc giúp đỡ những người cao tuổi trong khu phố của mình.	2	Destination B2
74	/ɡeɪn ˈpleʒər frəm ˈsʌmθɪŋ/	gain pleasure from something	Có được niềm vui từ cái gì	We can gain a lot of pleasure from simple things in life.\nChúng ta có thể có được rất nhiều niềm vui từ những điều giản dị trong cuộc sống.	2	Destination B2
75	/ɡeɪn ˈpleʒər frəm ˈduːɪŋ ˈsʌmθɪŋ/	gain pleasure from doing something	Có được niềm vui từ việc làm gì	Mr.Cat gains great pleasure from reading science fiction novels.\nMr.Cat có được niềm vui lớn từ việc đọc tiểu thuyết khoa học viễn tưởng.	2	Destination B2
76	/ˈpɑːpjələr wɪθ ˈsʌmθɪŋ/	popular with something	Phổ biến với, được yêu thích bởi (một nhóm)	This software is very popular with graphic design professionals.\nPhần mềm này rất phổ biến với các chuyên gia thiết kế đồ họa.	2	Destination B2
