STT	Phiên âm	Từ vựng	Ý nghĩa	Ví dụ	Unit	Giáo trình
1	/həʊst/	host	tổ chức	Although the area is less than a kilometer long, it once hosted international ski competitions.\nMặc dù khu vực này dài chưa tới một kilômét, nó từng tổ chức các cuộc thi trượt tuyết quốc tế.	4	Reading Explorer B2
2	/melt/	melt	tan chảy	In the past ten years, however, the snow has melted very quickly.\nTuy nhiên, trong mười năm qua, tuyết đã tan rất nhanh.	4	Reading Explorer B2
3	/əbˈzɔːb/	absorb	hấp thụ	These rocks absorb more heat, causing temperatures to increase.\nNhững tảng đá này hấp thụ nhiều nhiệt hơn, khiến nhiệt độ tăng lên.	4	Reading Explorer B2
4	/rɪˈzɔːt/	resort	khu nghỉ dưỡng	Today, the snow is almost gone, and so are Chacaltaya's days as a popular ski resort.\nNgày nay, tuyết gần như biến mất, và thời hoàng kim của Chacaltaya như một khu nghỉ dưỡng trượt tuyết cũng vậy.	4	Reading Explorer B2
5	/ˈterɪfaɪɪŋ/	terrifying	đáng sợ	Scientists all around the world have come to a terrifying conclusion.\nCác nhà khoa học trên toàn thế giới đã đi đến một kết luận đáng sợ.	4	Reading Explorer B2
6	/ˈlɑːdʒli/	largely	phần lớn	Global warming is a real problem, and one largely caused by human activity.\nNóng lên toàn cầu là một vấn đề có thật và phần lớn do hoạt động của con người gây ra.	4	Reading Explorer B2
7	/dɪˈbeɪt/	debate	tranh luận	As experts debate how to solve the problem, ice near the poles is melting faster.\nKhi các chuyên gia tranh luận cách giải quyết vấn đề, băng gần hai cực đang tan nhanh hơn.	4	Reading Explorer B2
8	/ɪkˈsiːd/	exceed	vượt quá	Reality is exceeding expectations.\nThực tế đang vượt xa những kỳ vọng.	4	Reading Explorer B2
9	/ˌekspekˈteɪʃn/	expectation	kỳ vọng	Reality is exceeding expectations.\nThực tế đang vượt quá kỳ vọng.	4	Reading Explorer B2
10	/ˌʌnɪkˈspektɪd/	unexpected	không ngờ tới	Researchers have also discovered other unexpected processes.\nCác nhà nghiên cứu cũng phát hiện ra những quá trình không ngờ tới khác.	4	Reading Explorer B2
11	/ˈɪnstəns/	instance	ví dụ	For instance, water from melting ice runs down cracks.\nVí dụ, nước từ băng tan chảy xuống các khe nứt.	4	Reading Explorer B2
12	/kræk/	crack	vết nứt	Water from melting ice runs down cracks in the surface.\nNước từ băng tan chảy xuống các vết nứt trên bề mặt.	4	Reading Explorer B2
13	/slaɪd/	slide	trượt	This makes it easier for the glacier to slide into the warmer sea water.\nĐiều này khiến sông băng dễ trượt xuống vùng nước biển ấm hơn.	4	Reading Explorer B2
14	/ˈkrɪtɪkl/	critical	nghiêm trọng	Millions of people could find themselves in a critical situation.\nHàng triệu người có thể rơi vào tình trạng nghiêm trọng.	4	Reading Explorer B2
15	/draʊt/	drought	hạn hán	An increasing number of heat waves and droughts worldwide suggests global warming.\nSố lượng ngày càng tăng của các đợt nắng nóng và hạn hán trên toàn thế giới cho thấy sự nóng lên toàn cầu.	4	Reading Explorer B2
16	/əˈweənəs/	awareness	nhận thức	The documentary helped to raise awareness of the problem.\nBộ phim tài liệu đã giúp nâng cao nhận thức về vấn đề này.	4	Reading Explorer B2
17	/ət steɪk/	at stake	bị đe dọa, liên quan trực tiếp	The future of the planet is at stake.\nTương lai của hành tinh đang bị đe dọa.	4	Reading Explorer B2
18	/əˈpiːl/	appeal	sức hấp dẫn	The old ways have little appeal for Malik Løvstrøm.\nNhững lối sống cũ hầu như không có sức hấp dẫn với Malik Løvstrøm.	4	Reading Explorer B2
